Plant Common Name ,Disease Name (Type),Treatment Methods (Human-Friendly Guide)
Drumstick (Moringa),Mosaic Virus (Viral),Leaves show patchy green patterns and become deformed. Spread by Aphids. No cure for the virus. Control aphids with yellow sticky traps and Neem oil sprays. Prune affected branches immediately or remove stunted trees to protect the rest.
Drumstick (Moringa),Root Rot (Fungal),"Leaves turn yellow and the tree wilts suddenly. Common in heavy, wet soils. Drench the root zone with a Trichoderma solution. Plant Moringa on mounds or raised bunds so water drains away from the trunk."
Drumstick (Moringa),Leaf Rust (Fungal),Small orange-to-reddish powdery spots on the underside of leaves. Spray Mancozeb (2.5g/liter) or Propiconazole (1ml/liter). Prune to improve airflow and apply Potash (Potassium) to help leaves resist the rust spores.
Drumstick (Moringa),Sooty Mold* (Fungal),"A black, ""sooty"" film covers the leaves. This is actually a fungus growing on the sticky ""honeydew"" left by insects like Mealybugs or Aphids. To treat, first kill the insects using Neem oil or soap spray. The mold will then dry up and flake off. Washing the leaves with a strong spray of water also helps."
Drumstick (Moringa),Bud Rot* (Fungal),"The flower buds turn brown, rot, and fall off before they can become pods. This is common during high humidity. Spray Carbendazim (1g/liter) at the start of the flowering season. Avoid using too much Nitrogen, which makes the flower buds too soft and prone to rot."
Drumstick (Moringa),Crown Gall* (Bacterial),"Large, woody ""knots"" or swellings appear on the trunk or roots near the soil line. This is caused by soil bacteria entering through wounds. There is no cure. Avoid wounding the trunk during weeding. If a tree is heavily affected, remove it and do not plant Moringa in that same spot for 3 years."
Drumstick (Moringa),Diplodia Canker* (Fungal),"Dark, sunken areas (cankers) appear on the bark, sometimes oozing gum. The branch above the canker may die. Clean the wound and apply Copper Oxychloride paste. Avoid stress like drought or over-watering, which weakens the tree's ""skin"" and allows the fungus to enter."
Ladies Finger (Okra),Yellow Vein Mosaic Virus (YVMV) (Viral),The most destructive okra disease. Leaf veins turn bright yellow while the rest stays green. Spread by Whiteflies. There is no cure for the virus. Control whiteflies using yellow sticky traps (15/acre) and spray Imidacloprid (0.5ml/liter) or Neem oil. Pull out and bury infected plants immediately. Always use resistant varieties like Arka Anamika or Varsha Uphar.
Ladies Finger (Okra),Powdery Mildew (Fungal),"White, flour-like powder appears on both sides of the leaf. This happens in warm, dry weather. Spray wettable Sulfur (3g/liter) or Dinocap (1ml/liter). A home remedy is a mixture of baking soda and water (5g/liter). Avoid overcrowding plants to ensure good airflow, which naturally discourages the fungus."
Ladies Finger (Okra),Cercospora Leaf Spot (Fungal),"Small, soot-like black spots on the underside of leaves, while the top shows yellow patches. Leaves eventually dry up and fall. Spray Mancozeb (2g/liter) or Carbendazim (1g/liter). Remove older, infected leaves from the bottom of the plant to stop the fungus from ""climbing"" up to the top."
Ladies Finger (Okra),Enation Leaf Curl (Viral),"Leaves become thick, leathery, and curl downwards with small ""warty"" growths (enations) on the underside. Spread by Whiteflies. Control whiteflies immediately and remove infected plants. Avoid planting okra near older, infected hibiscus or cotton plants, as they share the same virus."
Ladies Finger (Okra),Fusarium Wilt (Fungal),"The lower leaves turn yellow and the whole plant wilts suddenly, often starting from one side. This is a soil-borne fungus. Drench the soil with Carbendazim (2g/liter). The best prevention is to mix Trichoderma into your compost before planting. Avoid waterlogging, as the fungus moves easily through wet, heavy soil."
Ladies Finger (Okra),Damping Off (Fungal),"Affects young seedlings; the stem at the soil line rots and the plant falls over. Treat seeds with Trichoderma viride (4g/kg) before sowing. Ensure your field has excellent drainage. If you see rot, drench the soil base with Copper Oxychloride (2g/liter). Avoid over-watering the young crop."
Ladies Finger (Okra),Root Knot Nematode (Parasitic),"The plant looks yellow and stunted; roots have small ""knots"" or swellings. Plant African Marigold between your okra rows. Apply Neem Cake (250kg/acre) during land preparation. Use the bio-agent Paecilomyces lilacinus in the soil to protect the roots."
Ladies Finger (Okra),Sooty Mold (Fungal),"A black, powdery layer covers the leaves. This grows on the ""honeydew"" (sticky liquid) left by Aphids or Mealybugs. To treat, kill the insects using Neem oil or soap spray. Once the insects are gone, the mold will dry up and wash away with water. It blocks the sun from reaching the leaf, reducing fruit yield."
Ladies Finger (Okra),Bacterial Leaf Spot (Bacterial),"Small, water-soaked spots appear on leaves that later turn brown with a yellow ""halo."" Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). This spreads through splashing rain. Avoid working in the field when plants are wet. Use drip irrigation to keep the leaves dry."
Ladies Finger (Okra),Collar Rot (Fungal),"A white, ""silky"" mold grows on the stem just above the soil line, and the plant wilts. You may see small, brown structures like mustard seeds. Drench the base with Copper Oxychloride (3g/liter). Avoid mounding wet soil too high against the stem. Deep summer plowing is very effective in killing the fungus in the soil."
Ladies Finger (Okra),Alternaria Leaf Spot (Fungal),"Dark brown circular spots with ""target rings"" appear on leaves. Spray Mancozeb (2.5g/liter). This usually attacks plants that are weak or lacking nutrition. Ensure balanced fertilization (NPK) to keep the plant's immune system strong. Clean up old crop debris after harvest to stop the fungus from overwintering."
Ladies Finger (Okra),Tobacco Streak Virus (Viral),"Causes dark, dead-looking (necrotic) streaks on leaves and stems. Spread by Thrips. Control thrips using blue sticky traps and sprays of Neem oil or Fipronil. Since there is no cure for the virus, removing the infected plant is the only way to save the rest of the field."
Ladies Finger (Okra),Phytophthora Blight* (Fungal),"Large, dark-brown water-soaked patches on leaves during very rainy seasons. It can also rot the pods. Spray Metalaxyl + Mancozeb (2g/liter). Improve drainage immediately so water doesn't stand. Use raised beds for planting to keep the stem base dry."
Ladies Finger (Okra),Bract/Flower Rot* (Fungal),"The green bracts under the flower or the flowers themselves turn brown and rot, preventing fruit from forming. This is caused by high humidity. Spray Carbendazim (1g/liter). Ensure the plants are not too crowded. Avoid overhead sprinklers during the flowering stage."
Ladies Finger (Okra),Yellowing/Fruit Drop* (Physiological),"While not a ""disease,"" it causes leaves to turn yellow and small fruits to fall off. This is often caused by a lack of Micronutrients or sudden temperature changes. Spray a mixture of Micronutrients (2g/liter) and maintain steady soil moisture. Do not let the soil get bone dry and then flood it with water."
Onion,Purple Blotch (Fungal),"Look for purple centers inside water-soaked spots on leaves. Spray Mancozeb (2.5g/liter) or Hexaconazole (2ml/liter). This is the most common onion disease in India. Avoid over-watering and late-season Nitrogen, as it makes leaves too soft. Rotating with Maize or Soybean is highly effective."
Onion,Downy Mildew (Fungal),"Pale yellow patches on leaves with a purplish-white ""fuzzy"" growth. Spray Metalaxyl + Mancozeb (2g/liter). This happens in cool, humid weather. Avoid overhead irrigation in the evening; morning watering allows the sun to dry the leaves quickly."
Onion,Stemphylium Blight (Fungal),"Small yellowish spots that grow into large brown, elongated patches. Spray Tebuconazole + Trifloxystrobin (0.5g/liter). This fungus loves high humidity (90%+). Keep the field clean and ensure proper spacing. It often follows Purple Blotch, so treating for one usually helps prevent the other."
Onion,Onion Twister / Colletotrichum (Fungal),"Leaves become twisted and elongated like a ""snake,"" and the bulb stays tiny. Spray Propiconazole (1ml/liter). This is soil-borne. Mix Trichoderma viride into your manure before planting. Avoid planting in fields where ""Twister"" occurred in the last 2 years."
Onion,Basal Rot (Fungal),"Leaf tips dry out and the bulb base shows white mold with rotting roots. Drench the soil with Carbendazim (2g/liter). Before transplanting, dip seedling roots in Carbendazim solution for 15 minutes. Ensure the field is not waterlogged and use healthy, certified seeds."
Onion,Bacterial Soft Rot (Bacterial),"Inner scales turn into a mushy, foul-smelling liquid. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Bacteria enter through wounds; avoid damaging bulbs during weeding or harvest. Ensure bulbs are dried (cured) in the shade until the neck is tight."
Onion,Iris Yellow Spot Virus (IYSV) (Viral),"Diamond-shaped, straw-colored spots on leaves. Spread by Thrips. There is no cure for the virus. Control Thrips using blue sticky traps and sprays of Fipronil (2ml/liter). Remove infected plants immediately to prevent the virus from spreading through the whole crop."
Onion,Onion Smut* (Fungal),"You will see dark, slightly swollen ""blisters"" on young leaves that eventually burst to reveal black powdery spores. This is a soil-borne disease. Treat seeds with Thiram (3g/kg). Rotate crops for at least 3-4 years. Avoid moving soil from ""smut-heavy"" fields to clean ones, as the spores can live in the dirt for 15 years."
Onion,White Rot* (Fungal),"A thick white ""cottony"" mold grows at the bulb base with tiny black poppy-seed-like structures. Drench the soil with Tebuconazole. This is a very serious disease. If you see it, do not plant onions or garlic in that field for 5-8 years. Clean all tools thoroughly after working in an infected field."
Onion,Pink Root* (Fungal),"Roots turn pink, then red, and finally shrivel up. The plant stays small. Thrives in warm weather. Perform soil solarization (covering wet soil with clear plastic for 4-6 weeks in summer) before planting. Use resistant varieties and avoid water stress during the bulb-forming stage."
Onion,Black Mold (Aspergillus) (Fungal),"Black powdery masses appear between the outer scales during storage. Ensure onions are fully cured (dried) until the neck is thin. Store in a cool, dry, dark place with excellent airflow. This fungus loves heat, so keep your storage temperature below 30°C if possible."
Onion,Neck Rot* (Fungal),"The neck becomes soft and sunken in storage, often with a grey mold. This happens if you harvest too early or cut the leaves too close to the bulb. Harvest only when 50-70% of the ""necks"" have collapsed naturally. Leave 2-3 inches of the neck attached when cutting."
Onion,Slippery Skin* (Bacterial),"One or two internal scales look ""cooked"" or water-soaked, and the center can be easily pushed out of the bulb. Spray Copper-based fungicides. This is caused by bacteria splashing into the neck during heavy rain. Ensure excellent drainage and do not use overhead sprinklers during the final month of growth."
Onion,Smudge* (Fungal),"Small dark green or black circles appear on the outer scales of white onions. Spray Mancozeb (2g/liter). This is mostly a ""cosmetic"" disease but lowers market price. Avoid late-season irrigation and ensure bulbs dry quickly after harvest. It is much more common in white onions than red ones."
Onion,Onion Yellow Dwarf* (Viral),"Leaves show yellow streaks, become crinkled, and droop. Spread by Aphids. No cure exists. Use virus-free sets. Control aphids with yellow sticky traps and Neem oil sprays. Pull out stunted, yellow plants as soon as you see them to save the rest of your harvest."
Garlic,Purple Blotch (Fungal),"Small, water-soaked spots with purple centers on leaves. Spray Mancozeb (2.5g/liter) or Azoxystrobin (1ml/liter). Avoid over-watering and late-season Nitrogen. In India, planting by mid-October helps avoid the peak humidity that encourages this fungus."
Garlic,Downy Mildew (Fungal),"Pale yellow patches with grey ""furry"" growth underneath. Leaves eventually collapse. Spray Metalaxyl + Mancozeb (2g/liter). Avoid dense planting to allow morning dew to dry faster. Do not work in the field when leaves are wet to prevent spreading spores."
Garlic,Stemphylium Blight (Fungal),"Yellowish spots that turn into large, elongated brown patches. Spray Tebuconazole (1.5ml/liter) or Mancozeb (2.5g/liter). This fungus loves high humidity. Rotate crops with non-Allium plants (like cereals) for 2–3 years to break the cycle."
Garlic,Garlic Rust (Fungal),"Small, orange-to-reddish powdery spots on leaves. Spray Propiconazole (1ml/liter) or Copper Oxychloride (3g/liter). Common in cool, moist conditions. Destroy infected plant debris after harvest to stop the spores from returning next year."
Garlic,Mosaic Disease (Viral),Leaves show patchy green patterns and yellow streaks; bulbs remain very small. Spread by Aphids. No chemical cure exists. Control aphids with yellow sticky traps and Neem oil sprays. Always use virus-free cloves (seeds) and remove infected plants immediately.
Garlic,Basal Rot (Fungal),"Leaf tips turn yellow; the bulb base shows white, fluffy mold and rotted roots. Drench soil with Carbendazim (2g/liter). Before planting, dip garlic cloves in a Carbendazim solution for 15 minutes. Ensure the field is well-drained and not waterlogged."
Garlic,White Rot (Fungal),"A white cottony growth with tiny black structures (sclerotia) at the base. No easy cure. If you have this disease, do not grow garlic or onion in that field for 5–8 years. Clean all tools thoroughly after working in an infected field."
Garlic,Neck Rot (Fungal),"Mostly a storage problem; the neck becomes soft and watery with grey mold. Cure (dry) bulbs properly in a shaded, airy place for 10–12 days. Leave 2–3 cm of the neck when cutting; cutting too close to the bulb allows the fungus to enter."
Garlic,Bacterial Soft Rot (Bacterial),"Inner scales turn into a mushy, foul-smelling liquid. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Avoid damaging bulbs during harvest. Bacteria thrive in warm, soggy conditions, so prioritize drainage."
Garlic,Pink Root (Fungal),Roots turn pink/red and shrivel. The plant stays stunted. Perform soil solarization (covering wet soil with plastic for 6 weeks in summer) before planting. Long crop rotations (4+ years) and using resistant varieties are the best defenses.
Garlic,Black Mold (Aspergillus) (Fungal),"Black powdery masses between outer scales, usually in storage. Happens when temperatures exceed 30°C. Ensure garlic is fully dried before storage. Store in a cool, dark, well-ventilated place and avoid bruising the bulbs."
Garlic,Blue Mold (Penicillium)* (Fungal),Clues are a blue-green powdery mold on the cloves. It often starts in the field but gets worse in storage. Treat cloves with Carbendazim before planting. Avoid harvesting in wet weather and ensure bulbs are dried quickly and kept at low humidity during storage.
Garlic,Smudge* (Fungal),Small dark green or black circles on the outer scales of the bulb. Spray Mancozeb (2g/liter). This is mostly a cosmetic disease but lowers the market price. Avoid late-season irrigation and ensure bulbs dry quickly after harvest.
Garlic,Embellisia Skin Blotch* (Fungal),"Small, dark, ""sooty"" spots or streaks on the outer skin. Usually doesn't rot the clove but makes it look dirty. Ensure proper curing and storage. If it appears in the field, spray Mancozeb. It is more common in white garlic varieties than purple-skinned ones."
Garlic,Waxy Breakdown* (Physiological),"Cloves turn yellow, translucent, and waxy, then eventually dark brown. This is NOT caused by a germ but by high temperatures during the final growth stage or in storage. Ensure your storage area is well-ventilated and kept below 25°C. Avoid exposing harvested bulbs to direct, scorching sun for long periods."
Garlic,Iris Yellow Spot Virus (IYSV) (Viral),"Diamond-shaped, straw-colored spots on leaves. Spread by Thrips. No cure for the virus. Control Thrips using blue sticky traps and sprays of Fipronil (2ml/liter). Pull out infected plants as soon as you see them."
Ginger,Soft Rot / Rhizome Rot (Fungal/Oomycete),"The most devastating ginger disease. Leaves turn yellow and the base becomes watery; the ginger turns into a mushy, foul-smelling mass. Treatment: Drench soil with Metalaxyl + Mancozeb (2g/liter). Prevention: Always use 30cm high raised beds for drainage. Never plant ginger in a field where rot occurred last year."
Ginger,Bacterial Wilt (Bacterial),"Leaves suddenly droop and turn yellow. A ""milky white thread"" oozes from the stem when put in water. Treatment: No chemical cure; pull out and burn infected plants. Prevention: Dip seed rhizomes in Streptocycline (1g in 10L) for 30 minutes before planting."
Ginger,Yellows / Fusarium Wilt (Fungal),Leaves turn pale yellow and curl. The ginger doesn't turn mushy but shows brown rings inside when cut. Treatment: Drench the base with Carbendazim (2g/liter). Prevention: Mix Trichoderma viride (2kg/acre) with manure before planting to kill the wilt fungus in the soil.
Ginger,Leaf Spot (Fungal),"Small, oval spots with white centers and dark brown margins. If severe, leaves dry up. Treatment: Spray Mancozeb (2.5g/liter) or Carbendazim (1g/liter) at 15-day intervals. Proper spacing allows sunlight to reach lower leaves and kill spores."
Ginger,Phyllosticta Leaf Spot (Fungal),"Similar to regular leaf spot but spots are larger and create ""shot holes"" in the leaves. Treatment: Spray Copper Oxychloride (3g/liter). Remove and burn old, spotted leaves to stop spores from splashing onto new growth during rain."
Ginger,Thread Blight (Fungal),"White, thread-like growth on the leaf underside causes leaves to wither and hang. Treatment: Spray Bordeaux Mixture (1%). Common in shaded, humid areas. Prune nearby trees to let in more sunlight and improve air circulation."
Ginger,Storage Rot (Fungal),"Ginger rots after harvest in storage. Treatment: Before storing, treat rhizomes with Mancozeb (3g/liter) for 30 minutes and dry in the shade. Store in cool, well-ventilated pits. Avoid stacking ginger too high to prevent heat build-up."
Ginger,Root Knot Nematode (Parasitic),"Small ""warts"" or galls on the ginger skin; plant looks yellow and weak. Treatment: Apply Neem Cake (400kg/acre) during land preparation. Prevention: Plant African Marigold as a border crop and use the bio-agent Paecilomyces lilacinus."
Ginger,Rhizome Scale (Pest/Secondary Rot),"Tiny grey scales make the ginger look ""shriveled"" and create wounds for rot. Treatment: Dip seed rhizomes in Quinalphos (2ml/liter) before planting. This keeps the skin healthy and prevents germs from entering."
Ginger,Mosaic / Big Bud (Viral),"Leaves become thick, small, and show yellow mottling. Treatment: No cure; pull out infected plants immediately. Prevention: Control insects (Aphids/Thrips) using Neem Oil (5ml/liter). Use only certified healthy seed ginger."
Ginger,Dry Rot* (Fungal),"Caused by Diplodia, making the ginger light, dry, and corky. Treatment: Avoid wounding ginger during harvest. Treat with Propiconazole (1ml/liter) before storage. Do not dry ginger in direct hot sun, as cracks allow fungus in."
Ginger,Vermicularia Blight* (Fungal),"Tiny black dots appear in a circular pattern on leaf spots. Treatment: Spray Mancozeb (2g/liter). Keep the field and bunds clean of all grass and weeds, as the fungus survives on weed hosts."
Ginger,Collar Rot* (Fungal),"The stem at the soil line turns brown and rots, causing the plant to fall. Treatment: Drench with Copper Oxychloride (3g/liter). Avoid mounding too much wet soil against the stem. Ensure the soil is not too acidic by adding Lime (Chuna)."
Ginger,Leptosphaeria Leaf Spot* (Fungal),Greyish-white spots with a thin purple border. Usually appears in the late monsoon. Treatment: Spray Zineb (2g/liter). This fungus survives on old crop residue; always clean the field thoroughly after the final harvest.
Ginger,Armillaria Root Rot* (Fungal),"A white, mushroom-like ""fan"" of fungus grows under the skin of the rhizome. Usually occurs in newly cleared forest land. Treatment: No chemical fix. Remove the infected clump and the soil around it. Avoid planting ginger in land where old tree roots are still decaying."
Ginger,Yellow Leaf Streak* (Viral),Bright yellow streaks run parallel to the veins. Spread by mechanical contact or tools. Treatment: No cure. Wash tools with a mild bleach solution after working with a sick plant. Use only tissue-culture or guaranteed virus-free seeds.
Pumpkin,Powdery Mildew (Fungal),"White flour-like patches on leaves. Spray Hexaconazole (2ml/liter) or wettable Sulfur (3g/liter). For an organic fix, use a baking soda spray (5g/liter). Avoid overcrowding to let sunlight reach the inner leaves."
Pumpkin,Downy Mildew (Fungal),"Yellow angular patches on top with grey ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter). Avoid overhead watering; drip irrigation is best. Ensure proper spacing to help leaves dry quickly after rain."
Pumpkin,Gummy Stem Blight (Fungal),"Water-soaked spots that ooze a reddish-brown ""gum"" from stems. Spray Thiophanate Methyl (1g/liter) or Mancozeb (2.5g/liter). Always use certified seeds and clean up all crop debris after harvest to stop the fungus from hiding in old vines."
Pumpkin,Yellow Vein Mosaic (Viral),Leaf veins turn bright yellow; leaves become small/deformed. Spread by Whiteflies. No cure—pull out and bury sick plants immediately. Control whiteflies with yellow sticky traps and sprays of Imidacloprid (0.5ml/liter) or Neem oil.
Pumpkin,Anthracnose (Fungal),Sunken dark spots on leaves and fruit. Spray Carbendazim (1g/liter) or Mancozeb (2g/liter). Treat seeds with Thiram (3g/kg). Avoid working in the field when leaves are wet to prevent the spread of spores on tools.
Pumpkin,Angular Leaf Spot (Bacterial),"Small water-soaked ""square"" spots that may fall out, leaving ""shot holes."" Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Rotate crops with non-cucurbits for 2–3 years."
Pumpkin,Alternaria Leaf Blight (Fungal),"Small brown spots with ""target-like"" rings. Spray Mancozeb (2.5g/liter). Plants lacking Potassium (Potash) are more vulnerable. Deep summer plowing helps kill spores hiding in the soil."
Pumpkin,Fusarium Wilt (Fungal),Whole plant wilts suddenly during the hot day. Drench the base with Carbendazim (2g/liter). Mix Trichoderma viride (2kg/acre) into your manure before planting. Improve drainage to prevent standing water.
Pumpkin,Fruit Rot (Phytophthora) (Fungal/Oomycete),"Fruit touching wet soil turns soft with white ""yeast-like"" growth. Spray Metalaxyl (2g/liter). Grow pumpkins on mulch or raised beds. Remove and bury rotted fruits far away from the field."
Pumpkin,Root Knot Nematode (Parasitic),"Stunted/yellow plants; roots have small round ""knots."" Plant African Marigold as a border crop. Apply Neem Cake (250kg/acre) during land preparation. Use the bio-agent Paecilomyces lilacinus."
Pumpkin,Scab* (Fungal),"Small sunken spots on fruit that ooze a greenish-brown fluid. Spray Chlorothalonil (2g/liter). This loves cool, moist weather. Use disease-free seeds and avoid overhead irrigation."
Pumpkin,Cucumber Mosaic Virus (CMV)* (Viral),"Leaves look ""bumpy,"" mottled green, and fruits are deformed with ""warts."" Spread by Aphids. No cure. Control aphids using yellow sticky traps and Neem oil. Keep the field free of weeds like milkweed which act as hosts."
Pumpkin,Belly Rot (Rhizoctonia)* (Fungal),"The side of the pumpkin touching the ground turns brown and dry/corky. This happens in very hot, humid weather. Use plastic mulch or a thick layer of dry straw to keep the pumpkin from touching the soil."
Pumpkin,Sclerotinia Rot / White Mold* (Fungal),"A white ""cottony"" growth appears on stems or fruit, often with hard black ""seeds"" (sclerotia). Spray Carbendazim (1g/liter). This fungus survives in the soil for years. Rotate with non-susceptible crops like corn or wheat."
Pumpkin,Blossom End Rot* (Physiological),The bottom of the fruit (where the flower was) turns black and leathery. This is a Calcium deficiency caused by uneven watering. Maintain consistent soil moisture and apply Lime (Chuna) or a Calcium spray during fruit setting.
Pumpkin,Choanephora Fruit Rot* (Fungal),"Flowers and young fruits are covered in ""black-headed whiskers"" and rot quickly. Spray Copper Oxychloride (3g/liter). This is very common during heavy monsoon rains. Removing spent flowers can help reduce the chance of rot."
Radish (Mooli),White Rust (Fungal),"Raised white, ""chalky"" blisters on leaf undersides and yellow patches on top. Spray Metalaxyl + Mancozeb (2g/liter). Avoid overhead watering. Remove infected plants immediately to prevent the ""white dust"" spores from spreading."
Radish (Mooli),Alternaria Leaf Spot (Fungal),"Dark brown/black spots with ""target rings"" on leaves. Spray Mancozeb (2.5g/liter). This fungus loves high humidity. Ensure proper spacing and burn old plant debris after harvest to stop the fungus from hiding in the soil."
Radish (Mooli),Downy Mildew (Fungal),"Pale yellow patches on top with grey/purple ""fuzz"" underneath. Spray Metalaxyl (2g/liter). Common in cool, damp weather. Use raised beds for drainage and avoid planting too early in the winter when dew is heavy."
Radish (Mooli),Cercospora Leaf Spot (Fungal),"Circular spots with grey centers and reddish-brown borders. Spray Carbendazim (1g/liter). Thrives in hot, humid weather. Removing older, infected bottom leaves helps reduce the spread."
Radish (Mooli),Bacterial Black Rot (Bacterial),"Yellow ""V-shaped"" patches on leaf edges; veins turn black. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Use hot-water treated seeds (50°C for 30 mins) and avoid working in wet fields."
Radish (Mooli),Mosaic Virus (Viral),"Leaves look ""mosaic"" (patchy green) and wrinkled. Spread by Aphids. No chemical cure. Control aphids with yellow sticky traps and Neem oil sprays. Pull out and bury infected plants immediately."
Radish (Mooli),Fusarium Wilt / Yellows (Fungal),Leaves yellow on one side; plant wilts. Root shows a brown ring inside. Drench base with Carbendazim (2g/liter). Mix Trichoderma viride into compost before planting. Ensure soil is not too acidic (add Lime if needed).
Radish (Mooli),Damping Off (Fungal),Seedlings rot at the soil line and fall over. Treat seeds with Trichoderma (10g/kg) before sowing. Use raised beds and drench soil with Copper Oxychloride (2g/liter) if rot appears.
Radish (Mooli),Scab (Bacterial),"Raised, ""corky"" or warty brown patches on radish skin. Common in dry, alkaline soils. Keep soil consistently moist during the first 4 weeks. Avoid adding fresh manure right before planting."
Radish (Mooli),Clubroot (Fungal/Protist),"Plant wilts during the day; roots are swollen and deformed like ""clubs."" No easy cure. Increase soil pH by adding Lime (Chuna). Avoid planting radish in the same spot for at least 3 years."
Radish (Mooli),Rhizoctonia Root Rot* (Fungal),"Sunken, brown, dry lesions appear on the root near the soil line. Spray Thiophanate Methyl (1g/liter). Avoid deep planting and ensure the soil is well-aerated. Deep summer plowing is very effective in killing the fungus."
Radish (Mooli),Black Root* (Fungal),"The root turns black, particularly at the point where side roots emerge. Caused by Aphanomyces. Spray Fenamidone + Mancozeb. This loves waterlogged, heavy soils. Improve drainage and rotate with non-cruciferous crops."
Radish (Mooli),Soft Rot* (Bacterial),"The root turns into a mushy, foul-smelling liquid. Usually starts from wounds. Avoid wounding roots during weeding. Ensure the field has no standing water. Spray Copper Oxychloride (3g/liter) around the base."
Radish (Mooli),Phyllody* (Phytoplasma),"The flowers turn into green leaf-like structures, and the plant becomes bushy. Spread by Leafhoppers. No cure. Control leafhoppers with Neem oil or Dimethoate. Pull out and destroy infected plants immediately."
Radish (Mooli),Boron Deficiency* (Physiological),"While not a ""disease,"" it causes internal browning or ""brown heart"" and cracked roots. Spray Borax (2g/liter) during the mid-growth stage. Common in sandy or over-limed soils."
Radish (Mooli),Root Knot Nematode (Parasitic),"Stunted/yellow plants; roots have ""knots"" or look hairy. Plant African Marigold as a border crop. Apply Neem Cake (250kg/acre) during land preparation."
Ridge Gourd (Turai),Downy Mildew (Fungal),"Yellow angular spots on top of leaves with grey ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter). Avoid overhead watering. Growing vines on a Mandap (trellis) is the best way to keep leaves dry and stop the spread."
Ridge Gourd (Turai),Powdery Mildew (Fungal),"White, flour-like patches on both sides of the leaf. Spray Hexaconazole (2ml/liter) or wettable Sulfur (3g/liter). A home remedy of baking soda (5g/liter) also works. Avoid over-using Nitrogen, which makes leaves soft and easy to infect."
Ridge Gourd (Turai),Yellow Mosaic Disease (Viral),Patchy yellow patterns on wrinkled leaves; plant stays stunted. Spread by Whiteflies. No cure—pull out sick plants immediately. Control whiteflies with yellow sticky traps and sprays of Imidacloprid (0.5ml/liter) or Neem oil.
Ridge Gourd (Turai),Cucumber Mosaic Virus (Viral),"Leaves look ""mottled"" (mixed light/dark green) and distorted. Spread by Aphids. No chemical cure. Kill aphids using Neem oil or yellow sticky traps. Keep field borders free of weeds where aphids and the virus hide."
Ridge Gourd (Turai),Fusarium Wilt (Fungal),"Leaves turn yellow from the bottom up, and the whole vine wilts suddenly. Drench the base with Carbendazim (2g/liter). Mix Trichoderma viride into your manure before planting. Use raised beds to prevent waterlogging."
Ridge Gourd (Turai),Anthracnose (Fungal),Water-soaked yellow spots on leaves and sunken black spots on fruit. Spray Carbendazim (1g/liter). Treat seeds with Thiram (3g/kg). Avoid working in the field when leaves are wet to prevent the spread of spores.
Ridge Gourd (Turai),Cercospora Leaf Spot (Fungal),Small circular spots with grey centers and dark margins. Spray Mancozeb (2g/liter). This loves high humidity. Pruning older bottom leaves improves airflow. Ensure the trellis is high enough to keep leaves off the soil.
Ridge Gourd (Turai),Damping Off (Fungal),Seedlings in the nursery rot at the soil line and fall over. Treat seeds with Trichoderma (10g/kg) before sowing. Use raised beds and drench soil with Copper Oxychloride (2g/liter) if rot appears.
Ridge Gourd (Turai),Fruit Rot (Phytophthora) (Fungal/Oomycete),"Fruit touching wet ground develops white ""cottony"" growth and rots. Spray Metalaxyl (2g/liter). The most effective fix is using a Trellis system so fruit never touches the soil. Bury rotted fruits far away."
Ridge Gourd (Turai),Angular Leaf Spot (Bacterial),"Small, water-soaked ""square"" spots that may fall out, leaving ""shot holes."" Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Rotate crops with non-gourds for 2 years."
Ridge Gourd (Turai),Scab* (Fungal),"Small sunken spots on fruit that ooze greenish fluid; also causes ""shot holes"" in leaves. Spray Chlorothalonil (2g/liter). Loves cool, moist nights. Avoid planting too early in winter."
Ridge Gourd (Turai),Gummy Stem Blight* (Fungal),"Water-soaked spots on leaves and stems that ooze reddish-brown ""gum."" Spray Thiophanate Methyl (1g/liter). Use healthy, certified seeds and remove all old vines after harvest."
Ridge Gourd (Turai),Belly Rot (Rhizoctonia)* (Fungal),"The side of the fruit touching the ground turns brown and corky. This happens in hot, humid weather. Use a trellis or place dry straw/mulch under fruits if they must grow on the ground."
Ridge Gourd (Turai),Choanephora Fruit Rot* (Fungal),"Flowers and young fruits are covered in ""black-headed whiskers"" and rot quickly. Spray Copper Oxychloride (3g/liter). Very common during heavy monsoon. Removing spent flowers helps reduce the chance of rot."
Ridge Gourd (Turai),Alternaria Leaf Blight* (Fungal),"Small brown spots with ""target-like"" rings. Spray Mancozeb (2.5g/liter). Usually attacks plants with poor nutrition. Ensure balanced NPK fertilizer to keep the vine's immune system strong."
Ridge Gourd (Turai),Root Knot Nematode* (Parasitic),"Stunted/yellow plants; roots have small round ""knots."" Plant African Marigold as a border crop. Apply Neem Cake (250kg/acre) during land preparation."
