Vegetable Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ತೊಂಡೆಕಾಯಿ (ಕೋವಕ್ಕೈ),ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe),ಎಲೆ ಮತ್ತು ಕಾಂಡದ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಬಳ್ಳಿ ವಿರಳ ಮಾಡಿ. ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲಿಗೆ ಹತ್ತಿರವಿದ್ದಾಗ ರಾಸಾಯನಿಕ ಬೇಡ.
ತೊಂಡೆಕಾಯಿ (ಕೋವಕ್ಕೈ),ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಮೊಸೈಕ್ ವೈರಸ್ (Mosaic Virus),ಕಾಯಿ ಗಂಟು ಗಂಟಾಗಿ ಮಚ್ಚೆಯಾಗುತ್ತದೆ. ರೋಗ ಬಂದ ಬಳ್ಳಿ ತೆಗೆಯಿರಿ. ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಿ.
ತೊಂಡೆಕಾಯಿ (ಕೋವಕ್ಕೈ),ಕಾಯಿ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಹೆಲಿಕೋವರ್ಪಾ (Helicoverpa),ಹುಳು ಕಾಯಿ ತಿನ್ನುತ್ತದೆ. ಕೈಯಿಂದ ಆರಿಸಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ತೊಂಡೆಕಾಯಿ (ಕೋವಕ್ಕೈ),ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಕಾಯಿ ಮೇಲೆ ತಗ್ಗು ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ.
ತೊಂಡೆಕಾಯಿ (ಕೋವಕ್ಕೈ),ಜಿಗಿಹೇನು / ಆಫಿಡ್ಸ್  (ಕೀಟ ಬಾಧೆ),ಆಫಿಸ್ (Aphis),ಕಾಯಿ ಮೇಲೆ ಕಪ್ಪು ಮಸಿ ಬರುತ್ತದೆ. ಸಾಬೂನು ನೀರು ಸಿಂಪಡಿಸಿ.
ತೊಂಡೆಕಾಯಿ (ಕೋವಕ್ಕೈ),ಡೌನಿ ಮಿಲ್ಡ್ಯೂ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪೆರೋನೊಸ್ಪೊರಾ (Peronospora),ಎಲೆ ಮೇಲೆ ಹಳದಿ ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಮೆಟಾಲಾಕ್ಸಿಲ್ ಸಿಂಪಡಿಸಿ.
ತೊಂಡೆಕಾಯಿ (ಕೋವಕ್ಕೈ),ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ (Bactrocera),ಹುಳು ಕಾಯಿಯೊಳಗೆ ಕೊಳೆಸುತ್ತದೆ. ಕ್ಯೂ-ಲ್ಯೂರ್ (Cue-lure) ಬಲೆ ಬಳಸಿ. ಕಾಯಿಗೆ ಚೀಲ ಹಾಕಿ.
ಪಡವಲಕಾಯಿ,ಹಣ್ಣು ಕೊಳೆತ / ಪೈಥಿಯಂ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪೈಥಿಯಂ (Pythium),ಕಾಯಿ ಮೆತ್ತಗಾಗಿ ಬಿಳಿ ಬೂಷ್ಟು ಬರುತ್ತದೆ. ಕಾಯಿ ಮಣ್ಣಿಗೆ ತಾಗಿದರೆ ಹೀಗಾಗುತ್ತದೆ. ಎತ್ತರದ ಚಪ್ಪರ ಹಾಕಿ. ಕಾಯಿ ಮಣ್ಣಿಗೆ ತಾಗದಂತೆ ಕಲ್ಲು ಕಟ್ಟಬಹುದು. ಕೊಳೆತ ಕಾಯಿ ತೆಗೆಯಿರಿ. ನೀರು ನಿಲ್ಲದಂತೆ ನೋಡಿ.
ಪಡವಲಕಾಯಿ,ಪಡವಲ ಕಂಬಳಿ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಡಯಾಪಾನಿಯಾ (Diaphania),ಹಸಿರು ಹುಳು ಎಲೆ ಮತ್ತು ಎಳೆ ಕಾಯಿ ತಿಂದು ಹಾಳುಮಾಡುತ್ತದೆ. ಎಲೆ ಅಡಿಯಲ್ಲಿರುವ ಹುಳುಗಳನ್ನು ಕೈಯಿಂದ ಆರಿಸಿ. ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ ಬಿ.ಟಿ (Bt) ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ.
ಪಡವಲಕಾಯಿ,ಬೇರು ಗಂಟು ನುಸಿ  (ಪರಾವಲಂಬಿ ಹುಳು),ಮೆಲೋಯಿಡೋಜೈನ್ (Meloidogyne),ಗಿಡ ಕುಂಠಿತವಾಗಿ ಬೇರು ಗಂಟಾಗುತ್ತದೆ. ಬೇವಿನ ಹಿಂಡಿ ಹಾಕಿ. ಚೆಂಡು ಹೂವು ಬೆಳೆಸಿ.
ಪಡವಲಕಾಯಿ,ಕಾಂಡದ ಗಂಟು  (ಕೀಟ/ಶಿಲೀಂಧ್ರ),ಲಾಜಿಯೋಡಿಪ್ಲೋಡಿಯಾ (Lasiodiplodia),ಕಾಂಡದ ಬುಡದಲ್ಲಿ ಗಂಟು ಬಂದು ಬಳ್ಳಿ ಒಣಗುತ್ತದೆ. ಗಂಟು ಭಾಗಕ್ಕೆ ಮಣ್ಣು ಏರಿಸಿ ಬೇರು ಬಿಡಿಸಿ. ಮಣ್ಣಿಗೆ ಬೇವಿನ ಹಿಂಡಿ ಹಾಕಿ. ಗಿಡ ಪೂರ್ತಿ ಒಣಗಿದರೆ ಕಿತ್ತು ಹಾಕಿ.
ಪಡವಲಕಾಯಿ,ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ (Bactrocera),ಹುಳು ಕಾಯಿಯನ್ನು ತಿರುಚಿ ಕೊಳೆಸುತ್ತದೆ. ಕಾಯಿಗೆ ಕಾಗದದ ಕೊಳವೆ ಹಾಕಿ (Newspaper tube). ಮೋಹಕ ಬಲೆ ಬಳಸಿ.
ಪಡವಲಕಾಯಿ,ಕಾಂಡದ ಅಂಟು ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಡಿಡಿಮೆಲ್ಲಾ (Didymella),ಕಾಂಡದಿಂದ ಅಂಟು ಬರುತ್ತದೆ ಮತ್ತು ಕಾಯಿ ಕಪ್ಪಾಗುತ್ತದೆ. ಕ್ಲೋರೋಥಲೋನಿಲ್ ಸಿಂಪಡಿಸಿ. ಬೆಳೆ ಬದಲಿಸಿ.
ಪಡವಲಕಾಯಿ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe),ಎಲೆ ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ.
ಪಡವಲಕಾಯಿ,ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಮೊಸೈಕ್ ವೈರಸ್ (Mosaic Virus),ಕಾಯಿ ಮಚ್ಚೆಯಾಗಿ ವಿರೂಪಗೊಳ್ಳುತ್ತದೆ. ರೋಗ ಬಂದ ಬಳ್ಳಿ ಕಿತ್ತು ಹಾಕಿ. ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಿ.
ಸೋಯಾ ಅವರೆ,ಸೋಯಾಬೀನ್ ತುಕ್ಕು ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫಕೋಪ್ಸೋರಾ ಪ್ಯಾಚಿರೈಜಿ (Phakopsora pachyrhizi),ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿ ಇದು ದೊಡ್ಡ ಸಮಸ್ಯೆ. ಎಲೆ ಮೇಲೆ ಕೆಂಪು-ಕಂದು ಬಣ್ಣದ ಬೊಕ್ಕೆ ಬಂದು ಎಲೆ ಉದುರುತ್ತದೆ. ಹೂವು ಬಿಡುವಾಗ ಗಮನಿಸಿ. ಮ್ಯಾಂಕೋಜೆಬ್ (1 ಲೀಟರ್‌ಗೆ 2 ಗ್ರಾಂ) ಅಥವಾ ಹೆಕ್ಸಾಕೊನಜೋಲ್ ಸಿಂಪಡಿಸಿ. ಕೆಳಗಿನ ರೋಗಪೀಡಿತ ಎಲೆ ತೆಗೆಯಿರಿ.
ಸೋಯಾ ಅವರೆ,ಕಾಯಿ ಅಂಗಮಾರಿ / ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಟ್ರಂಕೇಟಮ್ (Colletotrichum truncatum),ಕಾಯಿಗಳ ಮೇಲೆ ಕಂದು ಮಚ್ಚೆ ಬಂದು ಕಾಳು ಮುದುರುತ್ತದೆ. ಶುದ್ಧ ಬೀಜ ಬಳಸಿ. ಥೈರಾಮ್ ನಿಂದ ಬೀಜೋಪಚಾರ ಮಾಡಿ. ಜೋಳದೊಂದಿಗೆ ಬೆಳೆ ಸರದಿ ಮಾಡಿ. ಮಳೆಗಾಲದಲ್ಲಿ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ.
ಸೋಯಾ ಅವರೆ,ನೇರಳೆ ಬೀಜದ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಸರ್ಕೋಸ್ಪೋರಾ ಕಿಕುಚಿ (Cercospora kikuchii),ಕಾಯಿಯೊಳಗಿನ ಕಾಳು ನೇರಳೆ ಬಣ್ಣಕ್ಕೆ ತಿರುಗುತ್ತದೆ. ಕಾಯಿ ಕಟ್ಟುವಾಗ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಸಿಂಪಡಿಸಿ. ಬೆಳೆ ಬಲಿತ ಕೂಡಲೇ ಕೊಯ್ಲು ಮಾಡಿ. ರೋಗ ನಿರೋಧಕ ತಳಿ ಬಳಸಿ.
ಸೋಯಾ ಅವರೆ,ಕಾಯಿ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಸಿಡಿಯಾ (Cydia),ಹುಳು ಕಾಯಿಗೆ ರಂಧ್ರ ಮಾಡಿ ಕಾಳು ತಿನ್ನುತ್ತದೆ. ರಂಧ್ರದ ಬಳಿ ತ್ಯಾಜ್ಯವಿರುತ್ತದೆ. ಮೋಹಕ ಬಲೆ ಬಳಸಿ. ಬಿ.ಟಿ (Bt) ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ. ಪಕ್ಷಿಗಳು ಕೂಡಲು 'ಟಿ' ಆಕಾರದ ಕೋಲು ನೆಡಿ.
ಸೋಯಾ ಅವರೆ,ಹಳದಿ ಮೊಸೈಕ್  (ವೈರಸ್ ರೋಗ),ಯೆಲ್ಲೋ ಮೊಸೈಕ್ ವೈರಸ್ (Yellow mosaic virus),ಎಲೆ ಮೇಲೆ ಹಳದಿ ಮಚ್ಚೆ ಬರುತ್ತದೆ. ಕಾಯಿ ಸಣ್ಣದಾಗುತ್ತದೆ. ರೋಗ ಬಂದ ಗಿಡ ಸುಟ್ಟುಹಾಕಿ. ಬಿಳಿ ನೊಣ ನಿಯಂತ್ರಿಸಲು ಹಳದಿ ಅಂಟು ಬಲೆ ಮತ್ತು ಬೇವಿನ ಎಣ್ಣೆ ಬಳಸಿ. ಕಳೆ ತೆಗೆಯಿರಿ.
ಸೋಯಾ ಅವರೆ,ಇದ್ದಿಲು ಕೊಳೆತ / ಚಾರ್ಕೋಲ್ ರಾಟ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಮ್ಯಾಕ್ರೋಫೋಮಿನಾ ಫೇಸಿಯೋಲಿನಾ (Macrophomina phaseolina),ಬೇರು ಮತ್ತು ಕಾಂಡ ಕಪ್ಪಾಗಿ ಇದ್ದಿಲಿನ ಪುಡಿಯಂತಾಗುತ್ತದೆ. ಗಿಡ ಬಾಡಿ ಸಾಯುತ್ತದೆ. ಬಿಸಿಲು ಮತ್ತು ಒಣ ಹವೆಯಲ್ಲಿ ಇದು ಹೆಚ್ಚು. ಮಣ್ಣಿನಲ್ಲಿ ತೇವಾಂಶವಿರಲಿ. ಬೆಳೆ ಬದಲಾವಣೆ ಒಂದೇ ದಾರಿ.
ಸೋಯಾ ಅವರೆ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಬೊಕ್ಕೆ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಕ್ಸಾಂಥೋಮೋನಾಸ್ (Xanthomonas),ಎಲೆ ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ತಿಳಿ ಬಣ್ಣದ ಬೊಕ್ಕೆ ಬಂದು ಒಡೆಯುತ್ತದೆ. ಗಿಡ ಒದ್ದೆಯಿದ್ದಾಗ ಹೊಲದಲ್ಲಿ ಕೆಲಸ ಮಾಡಬೇಡಿ. ಕಾಪರ್ ಯುಕ್ತ ಔಷಧ ಸಿಂಪಡಿಸಿ.
ಮದಹಾಗಲಕಾಯಿ,ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ (Bactrocera),ಮ್ಯಾಗಟ್ ಹುಳು ಕಾಯಿಯೊಳಗೆ ಸೇರಿ ಕೊಳೆಸುತ್ತದೆ. ಮೀಥೈಲ್ ಯುಜಿನಾಲ್ ಬಲೆ ಬಳಸಿ. ಕಾಯಿ ಎಳೆಯದಿದ್ದಾಗಲೇ ಕೊಯ್ಲು ಮಾಡಿ. ಬಿದ್ದ ಹಣ್ಣು ನಾಶಪಡಿಸಿ.
ಮದಹಾಗಲಕಾಯಿ,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಕಾಯಿ ಮತ್ತು ಎಲೆ ಮೇಲೆ ಕಪ್ಪು ತಗ್ಗು ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಬಳ್ಳಿ ಹಳದಿಯಾಗುತ್ತದೆ. ಶುದ್ಧ ಬಿತ್ತನೆಗೆಡ್ಡೆ ಬಳಸಿ. ಬಳ್ಳಿ ಚಪ್ಪರಕ್ಕೆ ಹಬ್ಬಿಸಿ. ಸ್ಯೂಡೋಮೋನಾಸ್ ಅಥವಾ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ.
ಮದಹಾಗಲಕಾಯಿ,ಡೌನಿ ಮಿಲ್ಡ್ಯೂ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪ್ಲಾಸ್ಮೋಪಾರಾ (Plasmopara),ಎಲೆ ಮೇಲೆ ಹಳದಿ ಚುಕ್ಕೆ ಬಂದು ಬಳ್ಳಿ ಹಾಳಾಗುತ್ತದೆ. ಮೆಟಾಲಾಕ್ಸಿಲ್ ಸಿಂಪಡಿಸಿ. ಸ್ಪ್ರಿಂಕ್ಲರ್ ಬಳಸಬೇಡಿ.
ಮದಹಾಗಲಕಾಯಿ,ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಮೊಸೈಕ್ ವೈರಸ್ (Mosaic Virus),ಕಾಯಿ ಮಚ್ಚೆಯಾಗಿ ವಿರೂಪಗೊಳ್ಳುತ್ತದೆ. ರೋಗ ಬಂದ ಬಳ್ಳಿ ಕಿತ್ತು ಹಾಕಿ. ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಿ. ಕತ್ತರಿ ಸ್ವಚ್ಛವಾಗಿಡಿ.
ಮದಹಾಗಲಕಾಯಿ,ಹಣ್ಣು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೈಟೋಫthora (Phytophthora),ಕಾಯಿ ಮಣ್ಣಿಗೆ ತಾಗಿದರೆ ಕೊಳೆಯುತ್ತದೆ. ಚಪ್ಪರ ಬಳಸಿ. ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ. ಕೊಳೆತ ಕಾಯಿ ತೆಗೆಯಿರಿ.
ಮದಹಾಗಲಕಾಯಿ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe),ಬಳ್ಳಿ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ. ಬಳ್ಳಿ ವಿರಳ ಮಾಡಿ.
ಮದಹಾಗಲಕಾಯಿ,ಬೇರು ಗಂಟು ನುಸಿ  (ಪರಾವಲಂಬಿ ಹುಳು),ಮೆಲೋಯಿಡೋಜೈನ್ (Meloidogyne),ಬೇರು ಗಂಟಾಗುತ್ತದೆ. ಬೇವಿನ ಹಿಂಡಿ ಹಾಕಿ. ಚೆಂಡು ಹೂವು ಬೆಳೆಸಿ. ಬೇಸಿಗೆಯಲ್ಲಿ ಮಣ್ಣಿಗೆ ಪ್ಲಾಸ್ಟಿಕ್ ಹೊದಿಸಿ.
ತುಪ್ಪದ ಹಿರೇಕಾಯಿ,ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಮೊಸೈಕ್ ವೈರಸ್ (Mosaic Virus),ಎಲೆ ಮಚ್ಚೆಯಾಗಿ ಕಾಯಿ ಸಣ್ಣದಾಗಿ ತಿರುಚಿಕೊಳ್ಳುತ್ತದೆ. ರೋಗ ಬಂದ ಬಳ್ಳಿ ಕಿತ್ತು ಹಾಕಿ. ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಲು ಹಳದಿ ಅಂಟು ಬಲೆ ಬಳಸಿ. ಕಳೆ ತೆಗೆಯಿರಿ.
ತುಪ್ಪದ ಹಿರೇಕಾಯಿ,ಹಣ್ಣು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೈಟೋಫthora (Phytophthora),ಕಾಯಿಯ ತುದಿ ಮೆತ್ತಗಾಗಿ ಕೊಳೆತು ಬಿಳಿ ಬೂಷ್ಟು ಬರುತ್ತದೆ. ಮಣ್ಣಿಗೆ ತಾಗದಂತೆ ಚಪ್ಪರ ಹಾಕಿ. ನೀರು ಬಸಿಯುವಂತೆ ಮಾಡಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ತುಪ್ಪದ ಹಿರೇಕಾಯಿ,ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ (Bactrocera),ಹುಳು ಕಾಯಿಯೊಳಗೆ ಸುರಂಗ ಮಾಡಿ ಕೊಳೆಸುತ್ತದೆ. ಕಾಯಿಗೆ ಚೀಲ ಹಾಕಿ. ಮೋಹಕ ಬಲೆ ಬಳಸಿ. ಬಿದ್ದ ಕಾಯಿ ಹೂತುಹಾಕಿ.
ತುಪ್ಪದ ಹಿರೇಕಾಯಿ,ಡೌನಿ ಮಿಲ್ಡ್ಯೂ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪೆರೋನೊಸ್ಪೊರಾ (Peronospora),ಎಲೆ ಮೇಲೆ ಹಳದಿ ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಸ್ಪ್ರಿಂಕ್ಲರ್ ಬೇಡ.
ತುಪ್ಪದ ಹಿರೇಕಾಯಿ,ಕಾಂಡದ ಅಂಟು ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಡಿಡಿಮೆಲ್ಲಾ (Didymella),ಕಾಂಡದಿಂದ ಕೆಂಪು ಅಂಟು ಬರುತ್ತದೆ. ಕಾಯಿ ಕಪ್ಪಾಗುತ್ತದೆ. ಬೆಳೆ ಬದಲಿಸಿ. ಕ್ಲೋರೋಥಲೋನಿಲ್ ಸಿಂಪಡಿಸಿ.
ತುಪ್ಪದ ಹಿರೇಕಾಯಿ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe),ಎಲೆ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ.
ತುಪ್ಪದ ಹಿರೇಕಾಯಿ,ಬ್ಲಾಸಮ್ ಎಂಡ್ ರಾಟ್  (ಕ್ಯಾಲ್ಸಿಯಂ ಕೊರತೆ),ಕ್ಯಾಲ್ಸಿಯಂ ಕೊರತೆ (Blossom end rot),ಕಾಯಿಯ ತುದಿ ಕಪ್ಪಾಗಿ ಕೊಳೆಯುತ್ತದೆ. ಮಣ್ಣಿನಲ್ಲಿ ತೇವಾಂಶವಿರಲಿ. ಸುಣ್ಣ ಹಾಕಿ.
ಸ್ಟಾರ್ ಫ್ರೂಟ್ (ಕರಂಬಲ),ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ (Bactrocera),ಹುಳು ಹಣ್ಣಿನ ಒಳಗೆ ರಂಧ್ರ ಮಾಡಿ ಕೊಳೆಸುತ್ತದೆ. ಹಣ್ಣು ಹಳದಿಯಾಗುವ ಮುನ್ನವೇ (ತಿಳಿ ಹಸಿರು ಇರುವಾಗ) ಕೊಯ್ಲು ಮಾಡಿ. ಮೋಹಕ ಬಲೆ ಬಳಸಿ. ಕಾಯಿಗೆ ಕಾಗದದ ಚೀಲ ಹಾಕಿ.
ಸ್ಟಾರ್ ಫ್ರೂಟ್ (ಕರಂಬಲ),ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಹಣ್ಣಿನ ಮೇಲೆ ಕಪ್ಪು ಚುಕ್ಕೆ ಬಂದು ಕೊಳೆಯುತ್ತದೆ. ಕಾಪರ್ ಔಷಧ ಸಿಂಪಡಿಸಿ. ಬಿದ್ದ ಹಣ್ಣು ತೆಗೆಯಿರಿ.
ಸ್ಟಾರ್ ಫ್ರೂಟ್ (ಕರಂಬಲ),ಮಸಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕ್ಯಾಪ್ನೋಡಿಯಮ್ (Capnodium),ಹಣ್ಣಿನ ಮೇಲೆ ಕಪ್ಪು ಮಸಿ ಬರುತ್ತದೆ. ಸಾಬೂನು ನೀರಿನಲ್ಲಿ ಹಣ್ಣು ತೊಳೆಯಿರಿ. ಬೇವಿನ ಎಣ್ಣೆ ಬಳಸಿ ಕೀಟ ನಿಯಂತ್ರಿಸಿ.
ಸ್ಟಾರ್ ಫ್ರೂಟ್ (ಕರಂಬಲ),ಬ್ಯಾಕ್ಟೀರಿಯಾ ಮಚ್ಚೆ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಕ್ಸಾಂಥೋಮೋನಾಸ್ (Xanthomonas),ಹಣ್ಣಿನ ಮೇಲೆ ನೀರು ಹೀರಿದ ಚುಕ್ಕೆ ಬಂದು ಕಂದಾಗುತ್ತದೆ. ಸ್ಪ್ರಿಂಕ್ಲರ್ ಬಳಸಬೇಡಿ. ಕಾಪರ್ ಔಷಧ ಸಿಂಪಡಿಸಿ.
ನೆಲ್ಲಿಕಾಯಿ (ಸ್ಟಾರ್ ಗೂಸ್ ಬೆರ್ರಿ),ಎಲೆ ತುಕ್ಕು ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪಕ್ಸಿನಿಯಾ ಸೋರ್ಘಿ (Puccinia sorghi),ಎಲೆ ಅಡಿಯಲ್ಲಿ ಕಿತ್ತಳೆ ಚುಕ್ಕೆ ಬಂದು ಎಲೆ ಉದುರುತ್ತದೆ. ಬಿದ್ದ ಎಲೆ ಸುಟ್ಟುಹಾಕಿ. ಗಂಧಕದ ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ.
ನೆಲ್ಲಿಕಾಯಿ (ಸ್ಟಾರ್ ಗೂಸ್ ಬೆರ್ರಿ),ಹಣ್ಣು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫ್ಯುಸಾರಿಯಂ (Fusarium),ಮಳೆಯ ನಂತರ ಹಣ್ಣು ಮೆತ್ತಗಾಗಿ ಕೊಳೆಯುತ್ತದೆ. ಆಗಾಗ ಕೊಯ್ಲು ಮಾಡಿ. ಕಾಪರ್ ಔಷಧ ಸಿಂಪಡಿಸಿ.
ಸುಂಡೇಕಾಯಿ,ಎಲೆ ಮುದುರು ರೋಗ  (ವೈರಸ್ ರೋಗ),ಸ್ಟ್ರೀಕ್ ವೈರಸ್ (Streak virus),ಎಲೆ ಸಣ್ಣದಾಗಿ ಗುಂಪಾಗಿ ಮುದುರುತ್ತದೆ. ಹೂವು ಬಿಡುವುದಿಲ್ಲ. ರೋಗ ಬಂದ ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ಬಿಳಿ ನೊಣ ಓಡಿಸಲು ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಸುಂಡೇಕಾಯಿ,ಕಾಯಿ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಹೆಲಿಕೋವರ್ಪಾ (Helicoverpa),ಅಪರೂಪಕ್ಕೆ ಹುಳು ಕಾಯಿ ತಿನ್ನುತ್ತದೆ. ಕೈಯಿಂದ ಆರಿಸಿ. ಬೆಳ್ಳುಳ್ಳಿ ಕಷಾಯ ಸಿಂಪಡಿಸಿ.
ಸಿಹಿ ಜೋಳ,ಎಲೆ ಅಂಗಮಾರಿ / ಟರ್ಸಿಕಮ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎಕ್ಸೆರೋಹಿಲಮ್ ಟರ್ಸಿಕಮ್ (Exserohilum turcicum),ಎಲೆ ಮೇಲೆ ದೋಣಿ ಆಕಾರದ ಬೂದು ಮಚ್ಚೆ ಬಂದು ಸುಟ್ಟಂತಾಗುತ್ತದೆ. ರೋಗ ನಿರೋಧಕ ತಳಿ ಬಳಸಿ. ಮ್ಯಾಂಕೋಜೆಬ್ ಅಥವಾ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಸಿಹಿ ಜೋಳ,ಕಾಂಡ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಕೈಲೋ ಪಾರ್ಟೆಲಸ್ (Chilo partellus),ಸುಳಿ ಒಣಗುತ್ತದೆ (ಡೆಡ್ ಹಾರ್ಟ್). ಸುಳಿಗೆ ಮರಳು ಮತ್ತು ಬೇವಿನ ಪುಡಿ ಹಾಕಿ.
