Vegetable Common Name ,Disease Name (Type),Treatment Methods
Raw Mango,Mango Hopper (Insect),"Small wedge-shaped insects suck sap from flowers and young fruits. They secrete sticky ""honeydew"" that turns black (sooty mold). Treatment: This causes the young ""vegetable"" mangoes to drop off. Spray a strong jet of water to wash off the sticky honeydew. Spray Neem Azadirachtin (10,000 ppm) during the flowering stage to repel hoppers."
Raw Mango,Powdery Mildew (Fungal),"White, flour-like dust covers the flowers and young fruits. The tiny fruits turn black and fall off. Treatment: Prune the tree to open the center to sunlight. Spray wettable Sulphur (2g/liter) just before the flowers open. If the tree is large, dusting with sulphur powder is effective."
Raw Mango,Bacterial Canker (Bacterial Infection),"Black, raised, cracking spots on the green fruit skin that ooze gum. Prune infected twigs. Spray Streptocycline + Copper fungicide."
Raw Mango,Fruit Fly (Insect Infestation),Maggots tunnel in; green fruit softens and drops. Use Methyl Eugenol traps. Harvest while fruit is fully mature but still hard.
Raw Mango,Sooty Mold (Fungal Infection),Black sticky coating on green skin. Wash with soapy water. Control hoppers/scales on the tree.
Raw Mango,Red Rust (Algal Infection),Rusty red spots on the fruit skin. Prune for airflow. Spray Copper Oxychloride. Ensure tree nutrition.
Raw Mango,Powdery Mildew (Fungal Infection),White powder on young fruits causes russeting (scabby skin) and dropping. Dust sulfur during flowering/fruit set.
Raw Mango,Anthracnose (Fungal Infection),"Black spots on green fruit (""Tear staining""). Spray Copper fungicide. Prune dead wood."
Raw Mango ,Mango Stone Weevil (Insect Infestation),The grub bores directly into the stone; the green flesh rots from the inside out. Collect and destroy all fallen fruits. Spray Deltamethrin on the trunk during off-season.
Ridge Gourd,Leaf Miner (Insect Larvae),"Thin, white, winding trails (squiggles) appear on the leaves. The larvae are inside the leaf layers. Treatment: Since they are inside, surface sprays don't work well. Pinch the trails to kill the larvae. Remove heavily mined leaves. Hang yellow sticky traps to catch the adult flies."
Ridge Gourd,Mosaic Virus (Viral),Yellow/green mottling on leaves. Twisted fruits. Treatment: Remove infected plants. Control aphids/beetles.
Ridge Gourd,Beetle Damage (Insect),Large red/orange beetles eat holes in leaves and flowers. Treatment: Handpick them in the early morning when they are slow. Dust wood ash on the leaves.
Ridge Gourd,Fruit Fly (Insect Infestation),Maggots rot the fruit. Bag fruits with newspaper. Use pheromone traps. Destroy fallen fruit.
Ridge Gourd,Downy Mildew (Fungal Infection),Yellow angular leaf spots; fruits stunt and taste bad. Spray Mancozeb. Train vines on trellis.
Ridge Gourd,Mosaic Virus (Viral Infection),"Mottled, deformed, ""warty"" fruits. Remove infected vines. Control aphids."
Ridge Gourd,Powdery Mildew (Fungal Infection),White powder on vines; fruits dry up. Spray wettable sulfur.
Ridge Gourd,Fruit Rot (Fungal Infection),Cottony leak/soft rot where fruit touches soil. Trellis the plant. Improve drainage.
Ridge Gourd,Root-Knot Nematode (Parasitic Infection),Galls on roots; weak vines; small fruits. Apply Neem cake. Rotate crops.
Ridge Gourd,Epilachna Beetle (Insect Infestation),Beetles eat leaves; skeletonized vines yield poorly. Handpick beetles. Spray Neem oil.
Roselle,Stem Rot (Fungal),"The stem turns black and soft near the soil line. The plant wilts and dies. Treatment: The red calyx (fruit covering) is the edible part, so avoid systemic chemicals. Ensure the soil drains well. Rotate the crop annually. Solarize the soil in summer to kill the fungus."
Roselle,Mealybugs (Insect Infestation),White masses on the calyx make it inedible. Spray strong water jet. Use soap solution.
Roselle,Anthracnose (Fungal Infection),Black spots on the red calyx. Spray Mancozeb. Harvest frequently.
Roselle,Pod Borer (Insect Infestation),Larvae bore into the seed capsule inside the calyx. Spray Neem oil.
Roselle,Powdery Mildew (Fungal Infection),White dust on the calyx and leaves. Spray wettable sulfur.
Roselle,Aphids (Insect Infestation),Black aphids cluster on the calyx. Wash with salt water. Spray soapy water.
Roselle,Fusarium Wilt (Fungal Infection),The whole plant wilts; vascular system turns brown. Rotate crops. Solarize soil.
Roselle ,Phytophthora Foot/Fruit Rot (Fungal Infection),The fleshy red calyx (fruit) rots; the stem turns black at the soil line. Ensure excellent drainage. Drench soil with Copper fungicide.
Round Gourd,Fruit Fly (Insect Larvae),"Major Pest: Flies puncture the tender skin of the round fruit to lay eggs. Maggots eat the inside, causing rot. Treatment: Tinda skin is very soft. Use pheromone traps (Methyl Eugenol) to catch male flies. Cover the fruits with cloth bags if growing on a small scale. Collect and bury fallen fruits deep in the soil."
Round Gourd,Powdery Mildew (Fungal),"White, flour-like dust covers the leaves and stems. The plant looks like it was dusted with ash. Treatment: This reduces the yield drastically. Prune dense leaves to let sunlight in. Spray wettable sulphur (2g/liter) or a mixture of baking soda and water (1 tsp/liter) early in the morning."
Round Gourd,Powdery Mildew (Fungal Infection),White powder; fruits sunscald. Spray wettable sulfur.
Round Gourd,Mosaic Virus (Viral Infection),Deformed fruits. Remove plants. Control aphids.
Round Gourd,Fruit Rot (Fungal Infection),Soft rot in wet weather. Avoid soil contact. Spray Mancozeb.
Round Gourd,Red Pumpkin Beetle (Insect Infestation),Beetles damage young fruit skin. Dust ash. Handpick.
Round Gourd,Downy Mildew (Fungal Infection),Yellow leaf spots; poor yield. Spray Metalaxyl.
Round Gourd,Whitefly (Insect Infestation),Sucks sap; transmits virus. Spray Neem oil. Use yellow sticky traps.
Round Gourd ,Fruit Fly (Insect Infestation),Maggots rot the fruit. Use traps. Bag fruits.
Sambar Onion,Twister Disease (Fungal/Anthracnose),"The leaves twist, curl, and elongate abnormally (looking like a spiral). The bulbs rot in the soil. Treatment: This is a major disease in Karnataka. Use raised beds to prevent water stagnation. Spray Pseudomonas fluorescens (bio-agent) or a mild copper fungicide. Store bulbs in well-ventilated racks, not in heaps."
Sambar Onion,Basal Rot (Fungal Infection),Roots rot; base of bulb turns brown. Use resistant varieties. Treat seed bulbs with Trichoderma.
Sambar Onion,Onion Maggot (Insect Infestation),Maggots tunnel into the small bulbs. Apply Neem cake. Rotate crops.
Sambar Onion,Thrips (Insect Infestation),Silvery streaks on leaves; stunted bulbs. Spray Imidacloprid/Neem oil. Blue sticky traps.
Sambar Onion,Downy Mildew (Fungal Infection),Violet fungal growth on leaves. Spray Metalaxyl. Avoid overcrowding.
Sambar Onion,Black Mold (Fungal Infection),Black dust on stored bulbs. Keep storage dry. Cure bulbs well.
Sambar Onion,White Rot (Fungal Infection),White mold with black specks at the base. Destroy infected plants. Long rotation.
Sambar Onion ,Purple Blotch (Fungal Infection),Purplish spots on leaves; bulbs remain small. Spray Mancozeb with sticky agent. Harvest when dry.
Scarlet Gourd,Root Knot Nematode (Parasitic Worm),"Vines look weak and yellow despite watering. Roots have large galls or knots. Treatment: Kovakkai is a perennial crop (stays for years), so soil health is vital. Apply Neem cake (1kg per plant) once every 6 months. Intercrop with Marigolds to repel nematodes. Flood the basin with water occasionally to reduce nematode population."
Scarlet Gourd,Powdery Mildew (Fungal),"White powder covers the leaves and stems, reducing yield. Treatment: Prune the vines heavily to reduce density. Spray wettable sulphur (2g/liter). Since fruits are harvested daily/weekly, avoid harsh chemicals."
Scarlet Gourd,Powdery Mildew (Fungal Infection),White powder on vines. Spray wettable sulfur. Prune dense growth.
Scarlet Gourd,Mosaic Virus (Viral Infection),"Mottled, knobbly fruits. Remove infected vines. Control aphids."
Scarlet Gourd,Fruit Borer (Insect Infestation),Larvae eat fruit. Handpick. Spray Neem oil.
Scarlet Gourd,Anthracnose (Fungal Infection),Sunken spots on fruit. Spray Mancozeb.
Scarlet Gourd,Aphids (Insect Infestation),Sooty mold on fruit. Spray soap solution.
Scarlet Gourd,Downy Mildew (Fungal Infection),Yellow leaf spots. Spray Metalaxyl.
Scarlet Gourd ,Fruit Fly (Insect Infestation),Maggots rot the fruit. Trap males (Cue-lure). Bag fruits.
Snake Gourd,Fruit Rot / Pythium Rot (Fungal),"The fruit turns soft, watery, and dark brown, often covered in white cottony mold. This happens mostly when the fruit touches damp soil. Treatment: Snake gourds must be grown on a high trellis (pandal) so fruits hang straight and away from the soil. If a fruit touches the ground, place a stone or wood block under it. Remove rotting fruits immediately. Ensure soil drainage is good."
Snake Gourd,Snake Gourd Caterpillar (Insect Larvae),"Green semi-looper caterpillars feed on the leaves and scrape the skin of young fruits, causing scarring and deformation. Treatment: Handpick and destroy caterpillars (they are often found on the undersides of leaves). Encourage birds in the garden. Spray a neem oil solution or Bacillus thuringiensis (Bt) to kill the larvae without harming beneficial insects."
Snake Gourd,Root Knot Nematode (Parasitic Worm),"Stunted growth, galls on roots. Treatment: Apply neem cake. Intercrop with marigolds."
Snake Gourd,Stem Gall (Fungal/Insect induced),Swellings or galls appear on the main stem near the ground. The vine wilts above the gall. Treatment: Earth up soil around the nodes to encourage new roots above the gall. Apply Neem cake to the soil. Remove the affected plant if it wilts completely.
Snake Gourd,Fruit Fly (Insect Infestation),"Maggots cause the long gourd to twist, rot, and yellow. Bag fruits with newspaper tubes. Use pheromone traps."
Snake Gourd,Stem Gummosis (Fungal Infection),Gum oozes from stem; black spots on fruit. Spray Chlorothalonil. Rotate crops.
Snake Gourd,Fruit Rot (Fungal Infection),Soft rot where fruit touches soil (or Pythium). Hang a small stone at the tip to keep it straight and off the ground. Spray Mancozeb.
Snake Gourd,Powdery Mildew (Fungal Infection),White powder on leaves/fruit. Spray wettable sulfur.
Snake Gourd,Snake Gourd Semilooper (Insect Infestation),Green caterpillars eat leaves and young fruit skin. Handpick. Spray Neem oil.
Snake Gourd,Mosaic Virus (Viral Infection),"Mottled, deformed fruits. Remove plants. Control aphids."
Snake Gourd,Root-Knot Nematode (Parasitic Infection),Galls on roots; weak vines. Apply Neem cake.
Soybean,Soybean Rust (Fungal),"Small, water-soaked spots appear on leaves, turning into reddish-brown pustules. Leaves yellow and drop rapidly, leaving empty pods. Treatment: This is a major issue in North Karnataka. Monitor the crop daily. If rust appears, spray Mancozeb (2g/liter). Remove infected lower leaves. Do not over-irrigate."
Soybean,Soybean Rust (Fungal Infection),"This is the most damaging disease. Reddish-brown pustules appear on the leaves and pods, leading to premature leaf drop and shriveled beans. Monitor the field closely during flowering. Spray rust-specific fungicides like Hexaconazole or Propiconazole immediately upon spotting symptoms. Ensure plants are well-spaced for airflow. Destroy volunteer soybean plants in the off-season to break the cycle."
Soybean,Pod Blight / Anthracnose (Fungal Infection),Pods develop irregular brown blotches and may twist or drop off. Seeds inside become moldy or shriveled. Use certified disease-free seeds. Treat seeds with Thiram or Captan before sowing. Rotate crops with non-legumes like corn. Spray Mancozeb during the pod-formation stage if the weather is wet and humid.
Soybean,Purple Seed Stain (Fungal Infection),"The seeds inside the pod develop distinct purple blotches, reducing market value. It is caused by the Cercospora fungus on the pod. Spray Benomyl or Carbendazim during the pod-filling stage. Harvest immediately when the crop is mature to reduce exposure. Use resistant varieties if available in your area."
Soybean,Pod Borer (Insect Infestation),Larvae bore holes into the green pods and eat the developing seeds. You will see frass (droppings) outside the holes. Install pheromone traps to catch adult moths. Spray Bacillus thuringiensis (Bt) or Indoxacarb as a safe control measure. Encouraging birds by placing T-shaped perches in the field helps naturally reduce the larval population.
Soybean,Yellow Mosaic Virus (Viral Infection),"Leaves show bright yellow mosaic patches; pods are deformed, few, and contain small seeds. There is no cure for the plant. Remove and burn infected plants immediately. Control the whiteflies that spread the virus using yellow sticky traps and Neem oil sprays. Keep the field free of weeds that host the virus."
Soybean,Charcoal Rot (Fungal Infection),"This soil fungus blocks water flow, causing the plant to wilt and die. If you split the stem or root, it looks grey/black like charcoal dust. It thrives in hot, dry stress. Mulch the soil to retain moisture. Irrigate lightly and frequently. There is no chemical cure; crop rotation is the only prevention."
Soybean,Bacterial Pustule (Bacterial Infection),"Raised, light-colored pustules appear on the leaves and pods, which can crack and merge. It thrives in warm, wet weather. Avoid cultivating the field when foliage is wet. Use resistant varieties. Clean up crop debris after harvest. Copper sprays can help protect healthy pods but cannot cure infected ones."
Spine Gourd,Fruit Fly (Insect Larvae),"This vegetable is highly susceptible. Maggots bore into the spiny fruit, causing it to turn yellow prematurely and rot. Treatment: Since this is a monsoon crop, chemical sprays wash off. Use ""Methyl Eugenol"" pheromone traps to capture male flies. Harvest fruits while they are still small and tender to escape infestation. Destroy any fallen fruit instantly."
Spine Gourd,Anthracnose (Fungal),"Small, dark, sunken spots appear on the leaves and fruits. The vine may yellow and weaken. Treatment: Use disease-free tubers/roots for planting. Provide a strong trellis support to keep vines off the wet ground. Remove infected leaves. Spray Pseudomonas fluorescens (bio-agent) every 10 days."
Spine Gourd,Anthracnose (Fungal Infection),"Sunken, dark spots appear on the green fruit skin, making it rot or shrivel. Spray Mancozeb or Copper Oxychloride during fruit set. Prune the vines to allow sunlight to reach the inner fruits. Harvest regularly to prevent over-mature fruits from becoming infection hubs."
Spine Gourd,Downy Mildew (Fungal Infection),"Yellow angular spots on leaves lead to weak vines and small, sun-scalded fruits. Spray Metalaxyl or Mancozeb. Avoid overhead irrigation that keeps leaves wet. Train the vines on a trellis to keep them off the damp soil."
Spine Gourd,Mosaic Virus (Viral Infection),"Fruits become bumpy, mottled, and misshapen. Remove and destroy infected vines immediately. Control aphids with sticky traps or Neem oil. Sterilize your pruning shears with bleach between cuts to prevent spreading the virus manually."
Spine Gourd,Fruit Rot (Fungal Infection),"Soft, watery rot starts at the blossom end or where the fruit touches the soil. Use trellises to keep fruit off the ground. Improve soil drainage. Remove rotting fruits immediately. Spray copper fungicide if rains are heavy."
Spine Gourd,Powdery Mildew (Fungal Infection),"White powder on leaves and stems reduces plant energy, causing fruits to drop or remain tiny. Spray wettable sulfur. Ensure good air circulation by thinning dense vines."
Spine Gourd,Root-Knot Nematode (Parasitic Infection),Roots develop galls; vines stunt and yield poorly. Apply Neem cake to the soil before planting. Rotate crops with marigolds. Solarize the soil during summer to kill nematodes.
Spine Gourd ,Fruit Fly (Insect Infestation),"Maggots bore into the fruit, causing soft rot and yellowing. This is the biggest yield killer. Bag the fruits with paper or cloth covers when they are small. Use pheromone traps (Cue-lure) to attract and kill male flies. Collect and bury all fallen, infested fruits deep in the soil to stop the next generation."
Sponge Gourd,Mosaic Virus (Viral),"Leaves show yellow and green mottling, and fruits become small, twisted, and pale. Treatment: Remove and destroy the infected plant immediately to prevent spread. This virus is transmitted by aphids; control them using yellow sticky traps. Keep the garden weed-free, as weeds often host the virus."
Sponge Gourd,Fruit Rot (Fungal),"The tip or bottom of the fruit turns soft and brown, often with white mold. This happens when fruits hang too close to damp soil or during heavy rains. Treatment: Ensure vines are trellised high. Remove rotting fruits immediately. Improve drainage around the plant roots. A preventative spray of neem oil can help during the rainy season."
Sponge Gourd,Fruit Fly (Insect Infestation),"Maggots tunnel into the young gourd, causing it to bend, yellow, and rot. Bag fruits early. Use pheromone traps. Collect and destroy fallen fruit to break the lifecycle."
Sponge Gourd,Downy Mildew (Fungal Infection),Yellow spots on leaves cause defoliation; fruits remain small and may sunscald. Spray Mancozeb. Avoid overhead watering. Prune lower leaves to increase airflow.
Sponge Gourd,Gummy Stem Blight (Fungal Infection),Stems ooze a reddish gum; black rotting spots appear on the fruit. Rotate crops (don't plant gourds for 2 years). Spray Chlorothalonil. Remove plant debris after harvest.
Sponge Gourd,Powdery Mildew (Fungal Infection),White powder on leaves reduces yield. Spray wettable sulfur. Keep vines thinned out to reduce humidity.
Sponge Gourd,Mosaic Virus (Viral Infection),"Mottled, deformed, ""warty"" gourds. Remove infected vines. Control aphids. Keep the garden weed-free."
Sponge Gourd,Pythium Fruit Rot (Fungal Infection),"Cottony white mold develops on fruit in wet conditions (""Cottony Leak""). Improve drainage. Trellis the vines. Avoid fruit contact with soil."
Sponge Gourd,Blossom End Rot (Calcium Deficiency),The tip of the gourd turns black and rots. Ensure consistent watering. Add lime or calcium to the soil. Mulch to retain moisture.
Star Fruit,Fruit Fly (Insect Larvae),"Maggots bore into the ridges of the star fruit, causing it to rot and drop. Treatment: Harvest fruits as soon as the colour changes from green to light yellow; do not wait for them to turn fully orange on the tree. Use pheromone traps. Bag the best bunches with newspaper."
Star Fruit,Anthracnose (Fungal Infection),"Small, dark spots on the fruit skin that merge and cause rotting. Spray copper fungicide. Prune the tree to open the canopy. Remove fallen fruits."
Star Fruit,Sooty Mold (Fungal Infection),"Black, sticky coating on the fruit surface. Control scale insects and mealybugs with Neem oil. Wash the fruit with soapy water before eating."
Star Fruit,Bacterial Spot (Bacterial Infection),"Small, water-soaked spots on the fruit that turn brown and corky. Avoid overhead irrigation. Spray copper fungicide. Prune infected twigs."
Star Fruit,Scale Insects (Insect Infestation),Waxy bumps on the fruit skin suck sap. Scrub off with a brush. Spray horticultural oil. Prune heavily infested branches.
Star Fruit,Mealybugs (Insect Infestation),White cottony masses in the fruit ribs. Wash off with water spray. Use soap solution. Control ants.
Star Fruit,Decline / Root Rot (Fungal Infection),Tree wilts; fruit drops. Caused by wet soil. Improve drainage. Drench soil with copper fungicide.
Star Fruit ,Fruit Fly (Insect Infestation),"Larvae bore into the ripening fruit, causing rot. Wrap fruits in paper bags or mesh on the tree. Use pheromone traps. Harvest fruits just before they turn fully yellow to avoid infestation."
Star Gooseberry,Leaf Rust (Fungal),"Rusty orange spots appear on the undersides of leaves. The tree may shed leaves early. Treatment: Collect and burn fallen leaves. Prune the tree to open up the canopy for sunlight. In severe cases, a sulphur spray helps, but usually, the tree recovers on its own."
Star Gooseberry,Fruit Rot (Fungal Infection),"Soft, brown rot on the berries, especially after rain. Harvest frequently. Remove rotting berries from the tree and ground. Spray copper fungicide."
Star Gooseberry,Rust (Fungal Infection),Rusty pustules on leaves; berries may drop. Dust sulfur. Remove fallen leaves.
Star Gooseberry,Sooty Mold (Fungal Infection),Black mold on berries due to aphid honeydew. Wash berries. Control aphids with Neem oil.
Star Gooseberry,Scale Insects (Insect Infestation),Scales on stems and fruit stems. Prune infested parts. Spray oil.
Star Gooseberry,Mealybugs (Insect Infestation),White wax on berries. Spray soap solution.
Star Gooseberry,Leaf Spot (Fungal Infection),Brown spots cause leaf drop and poor fruiting. Spray Carbendazim.
Star Gooseberry,Anthracnose (Fungal Infection),Dark spots on fruit. Spray Mancozeb.
Sundekayi,Leaf Curl (Viral),"The leaves become small, curled, and bunched together. The plant stops flowering. Treatment: This wild relative of the brinjal is usually very hardy, but whiteflies can spread this virus. Remove the infected branch or plant immediately. Spray neem oil to keep whiteflies away. Keep the area around the bush weed-free."
Sundekayi,Fruit Borer (Insect Larvae),"Rare, but sometimes caterpillars bore into the green berries, causing them to hollow out and drop. Treatment: Since berries grow in clusters, check for webbing or holes. Handpick the damaged clusters. A simple spray of garlic-chilli extract is usually enough to repel pests from this hardy plant."
Sundekayi,Verticillium Wilt (Fungal Infection),Plant wilts; vascular system browns. Rotate crops. Solarize soil.
Sundekayi,Leaf Curl Virus (Viral Infection),Curled leaves; few berries. Control whiteflies. Remove infected plants.
Sundekayi,Little Leaf (Phytoplasma),Tiny leaves; bushy plant; no fruit. Remove plant. Control leafhoppers.
Sundekayi,Root-Knot Nematode (Parasitic Infection),Galls on roots; weak plant. Apply Neem cake.
Sundekayi,Powdery Mildew (Fungal Infection),White powder on leaves/berries. Spray wettable sulfur.
Sundekayi,Aphids (Insect Infestation),Sucking insects on tips. Spray soap solution.
Sundekayi ,Fruit Borer (Insect Infestation),Larvae bore into the berries. Handpick damaged berries. Spray Neem oil.
Sweet Corn,Turcicum Leaf Blight (Fungal),"Long, boat-shaped, greyish-green lesions appear on the lower leaves and spread upward. Leaves look ""burnt."" Treatment: Plant resistant hybrids. Rotate crops with non-grass plants (like beans). Remove lower infected leaves. Spray Mancozeb or neem oil if the infection appears early in the season."
Sweet Corn,Stem Borer (Insect Larvae),"You will see ""pinholes"" in the leaves in a straight line as they unfurl. The central shoot may dry up (""dead heart""). Treatment: Drop a pinch of granules or a mix of sand and neem powder into the central whorl (funnel) of the plant. This kills the larvae trying to enter the stem. Remove plants showing ""dead hearts."""
Sweet Corn,Fall Armyworm (Insect Larvae),"A devastating pest. Larvae hide deep in the central whorl (funnel) of the plant and eat the growing tip, leaving ragged holes and large amounts of sawdust-like waste. Treatment: Inspect the whorl of every plant. If you see waste, apply a pinch of sand mixed with lime or ash into the funnel (this irritates the larvae). Spray Metarhizium (bio-fungicide) or Neem formulation (10,000 ppm) directly into the whorl."
Sweet Corn,Corn Earworm (Insect Infestation),Larvae feed on the silk and the tip of the cob. Apply Bacillus thuringiensis (Bt) or Spinosad to the silks. Mineral oil applied to the silk channel can suffocate larvae.
Sweet Corn,Common Smut (Fungal Infection),"Large, grey, puffball-like galls form on the kernels. Remove galls immediately before they burst and release spores. Avoid mechanical injury to plants."
Sweet Corn,Rust (Fungal Infection),Brown pustules on husks and leaves. Plant resistant varieties. Spray wettable sulfur if infection is early. Destroy crop debris.
Sweet Corn,Northern Corn Leaf Blight (Fungal Infection),"Grey, cigar-shaped lesions on leaves reduce yield. Spray Mancozeb. Rotate crops."
Sweet Corn,Stalk Rot (Fungal Infection),Stalks rot; ears drop or are small. Balance nitrogen. Avoid high plant density.
Sweet Corn,Maize Mosaic Virus (Viral Infection),Yellow streaks on leaves; stunted cobs. Control aphids/leafhoppers. Remove infected plants.
Sweet Corn,Cutworms (Insect Infestation),Larvae cut seedlings; poor stand establishment. Collar seedlings. Handpick larvae.
Sweet Potato,Weevil (Insect Larvae),"Larvae tunnel through the tuber, leaving it honeycombed with holes and bitter-tasting. This is the worst pest for sweet potato. ""Hill up"" soil around the base to close cracks so weevils cannot reach the tubers. Rotate crops annually. Use pheromone traps to monitor. Harvest promptly once mature; do not leave tubers in the ground for ""storage."""
Sweet Potato,Sweet Potato Weevil (Insect Larvae),"This is the #1 enemy. Larvae tunnel through the tuber, leaving it honeycombed with holes and waste. The tuber becomes bitter and inedible. Treatment: ""Hill up"" (pile) soil around the base of the plant to fill cracks; weevils can't dig, they only enter through open cracks. Use pheromone traps to catch males. Harvest promptly once mature. Rotate crops; do not plant sweet potatoes in the same spot for 3 years."
Sweet Potato,Soft Rot (Fungal),"Also known as ""Bread Mold,"" this turns the tuber soft, watery, and stringy. It often smells like alcohol/fermentation and develops black ""whiskers."" Treatment: This usually enters through cuts during harvest. Handle tubers gently like eggs. ""Cure"" them immediately after harvest (keep in a warm, humid room for 5-7 days) to heal skin wounds before storage. Do not store in cold refrigerators; they need cool, dry air (13-15°C)."
Sweet Potato,Black Rot (Fungal),"Large, sunken, circular black spots appear on the tuber. If you cut into the spot, the rot is shallow but the taste is bitter. Treatment: This spreads from infected ""slips"" (planting vines). Use only certified disease-free slips. Do not wash tubers before curing/storage, as water spreads spores. Practice crop rotation (3-4 years). If you see black lesions on the stems near the soil line, remove the plant immediately."
Sweet Potato,Scurf (Fungal),"Dark brown or black stains appear on the skin, looking like coffee stains. It is only skin-deep and doesn't affect the flesh, but it looks bad and causes moisture loss (shriveling) in storage. Treatment: Use vine cuttings (slips) cut at least 2cm above the soil line to ensure they are clean. Do not plant in wet, heavy soil or areas where manure was recently applied. Scurf loves moisture, so ensure good drainage."
Sweet Potato,White Grub / Root Grub (Insect Larvae),"Large, C-shaped white grubs eat large gouges or shallow holes out of the tuber skin and flesh. Treatment: These grubs live in the soil (often from beetles). Deep plow or dig over the soil in summer to expose grubs to birds and sun. Avoid planting immediately after clearing a grassy area (grubs love grass roots). Applying neem cake to the soil during planting reduces the population."
Sweet Potato,Leaf Folder (Insect Larvae),"Caterpillars fold the leaf over themselves using silk webbing and eat from the inside. Treatment: You will see folded leaves. Squeeze the folded leaf to kill the larva inside or pick it off. Since Sweet Potato has lush foliage, minor damage is fine, but severe infestation needs a Neem spray."
Sweet Potato,Rat / Rodent Damage (Vertebrate),"Large gnaw marks on the tubers; tubers are hollowed out. Treatment: Keep the field clean of tall grass where rats hide. Set up bamboo traps. Use ""live traps."" Placing owl perches (T-shaped poles) in the field encourages owls to hunt the rats at night."
Sweet Potato,Sweet Potato Weevil (Insect Infestation),"The worst pest. Grubs tunnel through the tuber, causing honeycomb damage and bitterness. Earth up soil to cover tubers. Use pheromone traps. Rotate crops."
Sweet Potato,Black Rot (Fungal Infection),"Circular, metallic black spots on the tuber; bitter taste. Use disease-free vine cuttings. Rotate crops for 3 years."
Sweet Potato,Scurf (Fungal Infection),Brown/black staining on the skin (cosmetic). Use certified seed roots. Dip cuttings in fungicide.
Sweet Potato,Soft Rot (Fungal Infection),Tubers turn soft and sweet-smelling (fermented) in storage or wet soil. Cure tubers before storage. Avoid bruising.
Sweet Potato,Stem Rot / Wilt (Fungal Infection),Vines yellow and die; tubers rot at the stem end. Plant resistant varieties. Avoid water stress.
Sweet Potato,Root-Knot Nematode (Parasitic Infection),Tubers crack and deform. Solarize soil. Rotate with grains.
Sweet Potato,Feathery Mottle Virus (Viral Infection),Yellow spots on leaves; cracked tubers. Use virus-free vines. Control aphids.
Sword Bean,Root Rot / Wilt (Fungal),The plant suddenly wilts. The roots turn black and decay. Treatment: Sword bean is hardy but hates waterlogging. Ensure the planting pit has excellent drainage. Do not overwater. Mix Trichoderma (bio-fungicide) with compost and apply it to the base of the plant.
Sword Bean,Root Rot (Fungal),"Wilting, black roots. Treatment: Ensure good drainage. Apply Trichoderma."
Sword Bean,Pod Borer (Insect Infestation),Larvae bore into the large pods. Handpick. Spray Neem oil.
Sword Bean,Anthracnose (Fungal Infection),Sunken spots on pods. Spray Mancozeb.
Sword Bean,Rust (Fungal Infection),Pustules on leaves. Dust sulfur.
Sword Bean,Root Rot (Fungal Infection),Wilt; black roots. Improve drainage. Treat seeds.
Sword Bean,Powdery Mildew (Fungal Infection),White dust on pods. Spray wettable sulfur.
Sword Bean,Mosaic Virus (Viral Infection),Deformed pods. Remove plants. Control aphids.
Sword Bean,Aphids (Insect Infestation),Sucking sap causes sooty mold. Spray soap solution.
Tamarind,Fruit Borer (Insect Larvae),"Small holes appear on the fruit pods. Inside, a caterpillar eats the pulp and seeds, filling the pod with black waste. Treatment: Shake the tree branches to dislodge larvae. Collect and burn all fallen pods. If the tree is small enough, spray a garlic-chilli extract. Encourage weaver ants (red ants) in the tree, as they are natural predators of these borers."
Tamarind,Powdery Mildew (Fungal),"White dusty powder covers the new tender leaves and young flowers, causing them to drop off before setting fruit. Treatment: This happens during cool, foggy mornings. Prune crowded branches to let sunlight in. Spraying a dilute sulphur solution (wettable sulphur) during the flowering stage helps save the crop."
Tamarind,Fruit Borer (Insect Infestation),Larvae bore into the pods and eat the pulp/seeds. Spray Neem oil. Harvest timely.
Tamarind,Powdery Mildew (Fungal Infection),White powder on leaves and young pods. Spray wettable sulfur.
Tamarind,Sooty Mold (Fungal Infection),Black mold on pods due to insect honeydew. Wash pods. Control scale/mealybugs.
Tamarind,Scale Insects (Insect Infestation),Scales on pods suck sap. Spray horticultural oil.
Tamarind,Mealybugs (Insect Infestation),White wax on pods. Spray soap solution.
Tamarind,Fruit Rot (Fungal Infection),Pods rot in wet weather. Prune tree. Remove bad pods.
Tamarind,Anthracnose (Fungal Infection),Dark spots on leaves/pods. Spray copper fungicide.
Tapioca,Scale Insect (Insect),"White, hard, waxy scales cover the stems, looking like white fungus. They suck sap, drying out the stem. Treatment: Select only clean, healthy stems for planting. If scales are seen on young plants, scrub them off with a toothbrush dipped in soapy water. Discard heavily infested stems; do not compost them."
Tapioca,Brown Leaf Spot (Fungal),"Brown spots with dark borders appear on older leaves, causing them to yellow and fall off prematurely. Treatment: This is very common but usually doesn't kill the plant. Ensure wide spacing between plants for airflow. Remove fallen leaves from the ground. Maintain good soil nutrition (potash) to help the plant resist the fungus."
Tapioca,Tuber Rot (Fungal),"The tuber rots in the ground, becoming soft and smelly. The leaves may turn yellow and wilt. Treatment: This happens in waterlogged soil. Ensure good drainage; plant on mounds or ridges. Do not harvest during heavy rains. If rot is seen, harvest early to save the rest."
